Phase 0 soak starting at Thu May 14 14:50:35 +07 2026
Logging to: ./soak.jsonl
Duration: 86400s (~24h)
Interval: 60s
[Thu May 14 15:20:22 +07 2026] 30 polls completed; next in 60s
[Thu May 14 15:51:17 +07 2026] 60 polls completed; next in 60s
[Thu May 14 16:21:56 +07 2026] 90 polls completed; next in 60s
[Thu May 14 16:52:31 +07 2026] 120 polls completed; next in 60s
[Thu May 14 17:23:12 +07 2026] 150 polls completed; next in 60s
[Thu May 14 17:53:52 +07 2026] 180 polls completed; next in 60s
[Thu May 14 18:24:32 +07 2026] 210 polls completed; next in 60s
[Thu May 14 18:55:18 +07 2026] 240 polls completed; next in 60s
[Thu May 14 19:25:57 +07 2026] 270 polls completed; next in 60s
[Thu May 14 19:56:37 +07 2026] 300 polls completed; next in 60s
[Thu May 14 20:27:17 +07 2026] 330 polls completed; next in 60s
[Thu May 14 20:57:58 +07 2026] 360 polls completed; next in 60s
[Thu May 14 21:28:38 +07 2026] 390 polls completed; next in 60s
[Thu May 14 21:59:18 +07 2026] 420 polls completed; next in 60s
[Thu May 14 22:30:02 +07 2026] 450 polls completed; next in 60s
